fruit,folder,path,area_frac,perimeter_norm,eccentricity,solidity,extent,circularity,aspect_ratio,equiv_diam_norm,hu1,hu2,hu3,hu4,hu5,hu6,hu7,mean_R,std_R,mean_G,std_G,mean_B,std_B,mean_H,std_H,mean_S,std_S,mean_V,std_V,hue_hist0,hue_hist1,hue_hist2,hue_hist3,hue_hist4,hue_hist5,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,glcm_dissimilarity,glcm_ASM,lbp0,lbp1,lbp2,lbp3,lbp4,lbp5,lbp6,lbp7,lbp8,lbp9,dark_ratio,brown_ratio,sat_std,coverage
apple,freshapples,C:\Users\User\Desktop\PipelineFrutas\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.00.35 PM.png,0.48504610177404295,2.1266530500962033,0.37108211209462044,0.9366803307554692,0.770793003118226,0.6720729214892218,1.092526690391459,0.5549514230679248,3.1968164569121487,8.655851219110504,11.253570537080417,13.83847390829641,-26.84579514729357,18.471584812381508,26.41198029608171,138.70054626464844,39.7891845703125,60.891056060791016,45.7957649230957,53.623260498046875,47.46725082397461,10.128718376159668,34.41751480102539,165.60630798339844,50.4249153137207,138.70530700683594,39.80216979980469,0.9554245471954346,0.0007669865153729916,0.0002105453168042004,0.00045116854016669095,0.0021656090393662453,0.04098113998770714,6.774799720323614,0.8508396471058763,0.28180996620561305,0.9130459105965326,0.5879693302875915,0.07944456635680887,0.008948175775257918,0.02497969741630824,0.02296447799801486,0.13417751977622042,0.2903871025957229,0.2283213523024634,0.08715072036574728,0.059839985562607154,0.09885102415255512,0.04437994405510272,0.006256203567239149,0.007339008030799772,50.4249153137207,0.48504610177404295
apple,freshapples,C:\Users\User\Desktop\PipelineFrutas\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.00.50 PM.png,0.6125449934554974,2.2578235053287794,0.5518539912512456,0.9495492829742039,0.7059475172847266,0.7549739410734083,1.0755813953488371,0.6244621185723206,3.1859427355094567,7.86316236712712,10.70910816149537,12.39403139941964,-24.5030392112292,-16.824309660959646,23.962942901488486,153.5146026611328,55.48466110229492,175.0808563232422,48.797367095947266,91.22635650634766,50.63264846801758,38.39181900024414,4.136448860168457,129.6477508544922,42.20332717895508,175.15931701660156,48.74750518798828,0.0057204547338187695,0.9941459894180298,0.00013355146802496165,0.0,0.0,0.0,6.158735152662971,0.821100814989925,0.30673327218187385,0.9709419354898399,0.5919073141772287,0.09409602009121025,0.01863042970184635,0.04045496533226492,0.04135643773719297,0.1451370571934159,0.2881929373532325,0.20544667401199737,0.08818848563765261,0.05507885101220883,0.05474497234371696,0.06276918967647158,1.1129288949729001e-05,0.0023816678352420063,42.20332717895508,0.6125449934554974
apple,freshapples,C:\Users\User\Desktop\PipelineFrutas\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.01.01 PM.png,0.5993983725761773,2.2984425832529958,0.6495330317885838,0.9435082778824972,0.7236883361204013,0.7115415214606751,1.2842809364548495,0.617140304676139,3.17447644285718,7.4948207229617045,10.802870198569426,11.832777203915342,23.15310140663692,15.607056354785449,-24.121207647334682,204.36798095703125,29.634685516357422,101.86720275878906,51.15594482421875,85.99514770507812,45.012916564941406,19.08207893371582,46.72506332397461,150.60107421875,48.327674865722656,205.75074768066406,27.630285263061523,0.8064892888069153,0.11781059205532074,0.0,0.0,8.424498082604259e-05,0.07561589032411575,5.5803821673376115,0.8509618121544855,0.30166103583045334,0.9579589343593999,0.49916684304775605,0.09101376359900634,0.011264757916019786,0.029389464562949056,0.02701857000156455,0.13404580520152604,0.32936178406806993,0.21318795056022916,0.08536423920761575,0.05478330986508768,0.06766075748275986,0.04792336113417819,0.0,0.002394964556931557,48.327674865722656,0.5993983725761773
apple,freshapples,C:\Users\User\Desktop\PipelineFrutas\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.01.08 PM.png,0.5679091866134752,2.345333915625153,0.659897647199249,0.9242639433698544,0.7004578770224326,0.6485644681583911,1.194888178913738,0.6012171869008814,3.164736095192491,7.440336489795721,10.483394357585412,11.571570349505766,22.600620883245305,15.3467354016292,-23.670512904633508,155.0570068359375,36.8607063293457,79.68946075439453,58.24367904663086,72.73925018310547,47.72863006591797,141.997802734375,66.54086303710938,153.59056091308594,49.35419845581055,159.2477569580078,35.74944305419922,0.11694329977035522,0.11554080992937088,1.2195568160677794e-05,7.317341078305617e-05,8.536897803423926e-05,0.767345130443573,5.451146039676451,0.887941466827595,0.33164175582682504,0.9505684964094706,0.43181097540211966,0.1099941203014614,0.0058538727026598535,0.019464126736344012,0.015171286754393453,0.10922350817712843,0.2597046233398783,0.24637486737319658,0.05850214032220691,0.06019732429235216,0.19465346293157068,0.030854787370269643,0.0,0.0020122687415393245,49.35419845581055,0.5679091866134752
apple,freshapples,C:\Users\User\Desktop\PipelineFrutas\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.01.34 PM.png,0.5253139269406393,2.0909773925788318,0.5748107680002721,0.9680125162698361,0.7142108836938598,0.7539476257622636,1.1081967213114754,0.577923099588104,3.185110110206217,7.777341651950282,10.663358701091274,12.412141612342719,23.993108977291087,16.407248768994325,-24.321688059468915,196.9449462890625,37.381004333496094,117.3550033569336,51.8817138671875,94.29357147216797,47.59148406982422,30.071779251098633,55.516605377197266,139.3929443359375,45.330501556396484,200.66944885253906,31.758920669555664,0.7261368036270142,0.15708698332309723,0.0,0.0,2.7163579943589866e-05,0.11674906313419342,6.142893867996028,0.84170630899741,0.30463282770167,0.9594494556178592,0.5395486631124942,0.09281687923782242,0.012250774162003585,0.030803498668984627,0.03487803552996143,0.1461672189927745,0.327524854674852,0.21354647688379422,0.08851252240995273,0.04793013527462379,0.048079534959526264,0.05030694844352692,0.0,0.010580214049003096,45.330501556396484,0.5253139269406393
apple,freshapples,C:\Users\User\Desktop\PipelineFrutas\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.02.38 PM.png,0.4791122512437811,1.9260171935024266,0.3088060927544481,0.9685849886849384,0.7509808699890338,0.8040122713247434,1.0247349823321554,0.5497201112058129,3.2018488691767355,9.004579549918994,11.743430499684807,13.966820756647095,-26.885332863944313,-18.626051793884887,27.118695597662526,230.98733520507812,17.469791412353516,122.72915649414062,32.9521598815918,107.18921661376953,32.65058898925781,45.804534912109375,72.92800903320312,139.57638549804688,31.839609146118164,230.9876251220703,17.470165252685547,0.7640387415885925,6.490029772976413e-05,8.112537034321576e-05,9.73504429566674e-05,3.245014886488207e-05,0.23568542301654816,6.034562884729096,0.8549984405401618,0.2906403693444582,0.9585069351011393,0.5143906304476105,0.0845067291785848,0.010027095873963623,0.028020703194717115,0.028653481089675987,0.13703697694416953,0.31952038680576966,0.23063943017539304,0.0884428796261743,0.05305599273116675,0.05717716158551425,0.04742589197345578,0.0,0.0015738322002823164,31.839609146118164,0.4791122512437811
apple,freshapples,C:\Users\User\Desktop\PipelineFrutas\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.03.34 PM.png,0.6528057795698925,2.365705475488559,0.3986545000119086,0.9574806501114509,0.8021865615615615,0.727758097241821,1.040625,0.642398214939626,3.1973543529703794,8.522464790735699,11.730008858009988,13.116831003608178,25.54038057343882,17.392784175882255,-27.12786619172792,162.64247131347656,42.32275390625,185.3646240234375,37.680641174316406,84.50137329101562,40.772621154785156,36.12288284301758,4.996348857879639,142.20245361328125,40.73094177246094,185.699951171875,37.020877838134766,0.06476292759180069,0.93488609790802,2.3397011318593286e-05,0.0,5.849252920597792e-05,0.0002690656401682645,5.499314567960041,0.861766724606418,0.24672166423325542,0.9672250128943389,0.4710101120330389,0.06089726243782391,0.011090183783530843,0.03178484107579462,0.02813490717235409,0.13945789122729027,0.28512768919408993,0.2217919771645161,0.09020718054304465,0.06036429147997801,0.07660181794784807,0.05543922041155344,0.01417858939413437,0.0302640352826944,40.73094177246094,0.6528057795698925
apple,freshapples,C:\Users\User\Desktop\PipelineFrutas\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.03.47 PM.png,0.5739305019305019,2.4731862325858778,0.6184622117559521,0.9050657574281539,0.672347662469243,0.5886475305135802,1.0212765957446808,0.603996762524373,3.1644767007831147,7.581391715801168,10.348835962056695,11.542011157116463,22.501825810507096,15.405921544880485,23.083920527435822,161.7442169189453,33.31734085083008,180.41744995117188,29.378219604492188,96.63679504394531,50.16206359863281,36.63698196411133,3.864919424057007,124.69935607910156,48.46704864501953,180.5377655029297,29.084697723388672,0.016831709071993828,0.9829530119895935,6.727302388753742e-05,4.0363811422139406e-05,0.0,0.00010763683530967683,6.640197147262107,0.8780310757374297,0.3526847478369443,0.9669975955526413,0.4818046564694418,0.12440171630123738,0.012553145686453904,0.03464560572627953,0.02669393466444217,0.1222619880523115,0.2666433453527797,0.25030945589580755,0.08619019428448416,0.06298100209891826,0.08462946020128088,0.05309186803724234,6.727302082772724e-05,0.006202572520316452,48.46704864501953,0.5739305019305019
apple,freshapples,C:\Users\User\Desktop\PipelineFrutas\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.03.59 PM.png,0.6224026864035088,2.2723852391669226,0.5557270999359719,0.9660164227365555,0.7501404123166381,0.7572924000261899,1.1677018633540373,0.6294538381666145,3.1936819013140605,7.86429069193163,12.559536188776594,14.705859760693393,28.525347078415138,18.817445684759196,-28.43573845577229,172.99867248535156,44.6664924621582,189.03257751464844,40.08094024658203,103.14627838134766,47.820396423339844,36.06649398803711,3.0011091232299805,121.1845703125,43.758148193359375,189.1322479248047,40.0029411315918,0.006562358699738979,0.9931954145431519,0.000165160046890378,7.707468466833234e-05,0.0,0.0,5.378819754258972,0.8683177541983587,0.2852934724637158,0.9744011642897972,0.4587828741676468,0.08140852951199755,0.012530141707314387,0.03415509628830336,0.029057156384536615,0.12970568480857952,0.26997060151286595,0.24334680305215753,0.09309520925777078,0.05783904603560851,0.07175653207958511,0.05854372887327821,0.00026425606412613825,0.0012552163045991566,43.758148193359375,0.6224026864035088
apple,freshapples,C:\Users\User\Desktop\PipelineFrutas\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.04.59 PM.png,0.509233803490318,1.9215599218045123,0.6557432050803171,0.9865115202037744,0.7481998595012294,0.8652484210324674,1.0684931506849316,0.5689504785484577,3.185850031683632,7.496564641665088,11.453091699700598,13.084013154110218,25.458454652779164,16.951284936314156,25.55927887405189,213.8963165283203,30.576684951782227,146.0681915283203,57.168418884277344,117.39704132080078,56.7385139465332,10.171645164489746,13.159191131591797,116.94202423095703,62.66611099243164,213.89772033691406,30.57753562927246,0.9944838881492615,0.0009389120386913419,0.0,0.0,0.0,0.004577196203172207,11.32426699962844,0.7728391047639402,0.258620644583134,0.942218520445405,0.8574414747994982,0.066914873798545,0.005809518220761692,0.014963910568628601,0.019306378733642392,0.11513408837509535,0.47726072413590753,0.24816618743031513,0.053752714042603136,0.022005750836218533,0.020069244762631302,0.02353148289419635,0.0,0.010093304383545566,62.66611099243164,0.509233803490318
